forecast_id,initialization_time,valid_time,region,zone,latitude,longitude,lead_day,rainfall_forecast,temperature_forecast,wind_forecast,pressure_forecast,humidity_forecast,ensemble_mean,ensemble_spread,ensemble_min,ensemble_max,spatial_variability
FCST_20240101_AND_D4,2024-01-01,2024-01-05,Andhra Pradesh,South-East,15.9129,79.74,4,0.0,22.6,10.7,1006.8,59.3,-0.8,4.33,0.0,8.7,3.15
FCST_20240101_AND_D5,2024-01-01,2024-01-06,Andhra Pradesh,South-East,15.9129,79.74,5,0.0,21.9,12.2,1007.1,50.1,-1.6,6.27,0.0,12.2,10.47
FCST_20240101_AND_D6,2024-01-01,2024-01-07,Andhra Pradesh,South-East,15.9129,79.74,6,0.0,21.2,9.8,1005.3,59.0,0.7,6.91,0.0,15.9,5.16
FCST_20240101_AND_D7,2024-01-01,2024-01-08,Andhra Pradesh,South-East,15.9129,79.74,7,0.8,21.7,13.1,1007.5,52.9,0.9,8.57,0.0,19.8,10.15
FCST_20240101_AND_D8,2024-01-01,2024-01-09,Andhra Pradesh,South-East,15.9129,79.74,8,0.0,21.2,12.9,1007.0,53.7,-0.1,9.62,0.0,21.1,18.95
FCST_20240101_AND_D9,2024-01-01,2024-01-10,Andhra Pradesh,South-East,15.9129,79.74,9,2.0,20.5,12.9,1002.4,55.6,-6.3,11.56,0.0,19.1,15.56
FCST_20240101_AND_D10,2024-01-01,2024-01-11,Andhra Pradesh,South-East,15.9129,79.74,10,1.9,19.7,13.1,1008.6,60.0,0.7,12.59,0.0,28.4,15.71
FCST_20240101_WES_D1,2024-01-01,2024-01-02,West Bengal,East,22.9868,87.855,1,0.0,21.4,12.6,1006.7,53.6,0.3,1.5,0.0,3.6,2.44
FCST_20240101_WES_D2,2024-01-01,2024-01-03,West Bengal,East,22.9868,87.855,2,11.5,21.2,11.0,1006.5,52.9,11.5,3.16,5.8,18.5,4.83
FCST_20240101_WES_D3,2024-01-01,2024-01-04,West Bengal,East,22.9868,87.855,3,0.0,22.5,10.4,1004.2,56.0,1.8,3.37,0.0,9.2,2.4
FCST_20240101_WES_D4,2024-01-01,2024-01-05,West Bengal,East,22.9868,87.855,4,0.0,21.5,12.9,1005.6,55.8,-0.5,4.41,0.0,9.2,1.48
FCST_20240101_WES_D5,2024-01-01,2024-01-06,West Bengal,East,22.9868,87.855,5,6.3,20.4,12.8,1007.5,54.2,5.8,7.92,0.0,23.2,13.05
FCST_20240101_WES_D6,2024-01-01,2024-01-07,West Bengal,East,22.9868,87.855,6,0.0,22.5,10.3,1007.3,55.6,-1.1,7.66,0.0,15.8,2.4
FCST_20240101_WES_D7,2024-01-01,2024-01-08,West Bengal,East,22.9868,87.855,7,0.0,23.4,9.3,1005.9,54.5,4.4,10.95,0.0,28.5,17.34
FCST_20240101_WES_D8,2024-01-01,2024-01-09,West Bengal,East,22.9868,87.855,8,0.0,22.1,12.0,1004.4,56.8,-4.6,9.62,0.0,16.6,11.33
FCST_20240101_WES_D9,2024-01-01,2024-01-10,West Bengal,East,22.9868,87.855,9,7.7,22.2,12.5,1008.1,57.8,4.4,11.11,0.0,28.8,19.29
FCST_20240101_WES_D10,2024-01-01,2024-01-11,West Bengal,East,22.9868,87.855,10,17.9,21.6,15.3,1003.9,51.2,23.8,14.15,0.0,54.9,9.33
FCST_20240101_MAD_D1,2024-01-01,2024-01-02,Madhya Pradesh,Central,22.9734,78.6569,1,0.0,21.7,11.1,1006.3,54.4,0.4,1.5,0.0,3.7,4.33
FCST_20240101_MAD_D2,2024-01-01,2024-01-03,Madhya Pradesh,Central,22.9734,78.6569,2,0.0,21.0,12.9,1005.7,57.0,0.9,2.39,0.0,6.2,4.19
FCST_20240101_MAD_D3,2024-01-01,2024-01-04,Madhya Pradesh,Central,22.9734,78.6569,3,0.0,21.4,12.4,1007.8,53.2,0.4,4.07,0.0,9.4,4.45
FCST_20240101_MAD_D4,2024-01-01,2024-01-05,Madhya Pradesh,Central,22.9734,78.6569,4,0.0,19.9,13.3,1006.0,54.5,2.0,4.85,0.0,12.7,3.66
FCST_20240101_MAD_D5,2024-01-01,2024-01-06,Madhya Pradesh,Central,22.9734,78.6569,5,0.0,21.6,9.6,1006.6,53.9,-1.3,5.6,0.0,11.0,17.73
FCST_20240101_MAD_D6,2024-01-01,2024-01-07,Madhya Pradesh,Central,22.9734,78.6569,6,0.0,21.0,10.6,1006.2,55.7,-2.7,6.91,0.0,12.5,5.15
FCST_20240101_MAD_D7,2024-01-01,2024-01-08,Madhya Pradesh,Central,22.9734,78.6569,7,0.0,20.1,12.8,1004.4,63.1,-0.9,8.25,0.0,17.3,3.75
FCST_20240101_MAD_D8,2024-01-01,2024-01-09,Madhya Pradesh,Central,22.9734,78.6569,8,24.2,21.3,10.9,1006.4,56.7,29.8,10.94,10.1,53.9,42.12
FCST_20240101_MAD_D9,2024-01-01,2024-01-10,Madhya Pradesh,Central,22.9734,78.6569,9,0.0,21.3,10.0,1005.0,53.7,-0.2,11.01,0.0,24.0,6.38
FCST_20240101_MAD_D10,2024-01-01,2024-01-11,Madhya Pradesh,Central,22.9734,78.6569,10,0.0,21.0,19.7,1006.7,52.5,3.5,12.98,0.0,32.1,22.9
FCST_20240101_UTT_D1,2024-01-01,2024-01-02,Uttar Pradesh,North,26.8467,80.9462,1,0.0,21.2,12.4,1006.5,56.4,0.8,1.5,0.0,4.1,0.95
FCST_20240101_UTT_D2,2024-01-01,2024-01-03,Uttar Pradesh,North,26.8467,80.9462,2,0.0,21.4,11.9,1006.6,55.4,-0.2,2.89,0.0,6.2,4.05
FCST_20240101_UTT_D3,2024-01-01,2024-01-04,Uttar Pradesh,North,26.8467,80.9462,3,0.0,21.5,10.5,1006.7,56.0,1.1,3.36,0.0,8.5,3.93
FCST_20240101_UTT_D4,2024-01-01,2024-01-05,Uttar Pradesh,North,26.8467,80.9462,4,0.0,21.7,10.3,1005.6,54.4,1.8,5.72,0.0,14.4,2.4
FCST_20240101_UTT_D5,2024-01-01,2024-01-06,Uttar Pradesh,North,26.8467,80.9462,5,0.0,21.6,13.7,1004.9,54.3,0.8,6.28,0.0,14.6,7.64
FCST_20240101_UTT_D6,2024-01-01,2024-01-07,Uttar Pradesh,North,26.8467,80.9462,6,0.0,22.0,12.9,1004.7,57.9,1.9,6.91,0.0,17.1,5.12
FCST_20240101_UTT_D7,2024-01-01,2024-01-08,Uttar Pradesh,North,26.8467,80.9462,7,0.0,21.2,11.1,1006.8,54.0,0.9,9.52,0.0,21.8,29.93
FCST_20240101_UTT_D8,2024-01-01,2024-01-09,Uttar Pradesh,North,26.8467,80.9462,8,0.0,19.1,10.9,1003.9,58.0,-1.7,10.4,0.0,21.2,11.26
FCST_20240101_UTT_D9,2024-01-01,2024-01-10,Uttar Pradesh,North,26.8467,80.9462,9,0.0,22.7,12.4,1007.9,56.4,1.7,13.02,0.0,30.3,29.83
FCST_20240101_UTT_D10,2024-01-01,2024-01-11,Uttar Pradesh,North,26.8467,80.9462,10,0.0,23.9,8.8,1008.1,62.0,0.4,12.43,0.0,27.7,13.79
FCST_20240101_KAR_D1,2024-01-01,2024-01-02,Karnataka,South,15.3173,75.7139,1,3.8,22.0,11.0,1005.5,54.7,3.5,1.5,0.8,6.8,1.95
FCST_20240101_KAR_D2,2024-01-01,2024-01-03,Karnataka,South,15.3173,75.7139,2,0.0,20.8,12.1,1008.1,56.0,0.9,1.95,0.0,5.2,2.54
FCST_20240101_KAR_D3,2024-01-01,2024-01-04,Karnataka,South,15.3173,75.7139,3,0.0,21.0,10.7,1005.0,51.5,-0.6,3.94,0.0,8.1,3.22
FCST_20240101_KAR_D4,2024-01-01,2024-01-05,Karnataka,South,15.3173,75.7139,4,2.4,20.6,10.2,1005.9,59.1,2.4,4.6,0.0,12.5,6.94
FCST_20240101_KAR_D5,2024-01-01,2024-01-06,Karnataka,South,15.3173,75.7139,5,4.4,22.0,10.5,1006.6,52.3,8.4,12.44,0.0,35.8,4.49
FCST_20240101_KAR_D6,2024-01-01,2024-01-07,Karnataka,South,15.3173,75.7139,6,0.0,23.0,9.8,1004.9,54.6,2.6,10.11,0.0,24.8,17.21
FCST_20240101_KAR_D7,2024-01-01,2024-01-08,Karnataka,South,15.3173,75.7139,7,11.0,21.0,9.0,1004.9,54.0,9.7,11.38,0.0,34.7,8.17
FCST_20240101_KAR_D8,2024-01-01,2024-01-09,Karnataka,South,15.3173,75.7139,8,2.8,21.3,11.4,1006.8,51.7,3.9,12.0,0.0,30.3,2.49
FCST_20240101_KAR_D9,2024-01-01,2024-01-10,Karnataka,South,15.3173,75.7139,9,0.0,19.5,8.7,1006.4,61.6,-5.0,15.77,0.0,29.7,5.62
FCST_20240101_KAR_D10,2024-01-01,2024-01-11,Karnataka,South,15.3173,75.7139,10,0.0,18.8,13.5,1004.5,56.3,1.5,12.43,0.0,28.8,13.02
FCST_20240101_HIM_D1,2024-01-01,2024-01-02,Himachal Pradesh,North-Himalayan,31.1048,77.1734,1,0.0,21.0,11.8,1007.1,55.0,-0.7,1.5,0.0,2.6,5.83
FCST_20240101_HIM_D2,2024-01-01,2024-01-03,Himachal Pradesh,North-Himalayan,31.1048,77.1734,2,0.0,21.6,10.8,1006.4,51.3,-0.2,3.21,0.0,6.9,4.09
FCST_20240101_HIM_D3,2024-01-01,2024-01-04,Himachal Pradesh,North-Himalayan,31.1048,77.1734,3,9.7,19.2,14.3,1006.0,57.4,10.3,4.35,2.5,19.9,8.76
FCST_20240101_HIM_D4,2024-01-01,2024-01-05,Himachal Pradesh,North-Himalayan,31.1048,77.1734,4,9.5,20.8,13.5,1006.9,56.2,11.9,6.48,0.2,26.2,7.73
FCST_20240101_HIM_D5,2024-01-01,2024-01-06,Himachal Pradesh,North-Himalayan,31.1048,77.1734,5,0.0,19.8,10.2,1005.3,52.9,-2.3,7.54,0.0,14.3,1.26
FCST_20240101_HIM_D6,2024-01-01,2024-01-07,Himachal Pradesh,North-Himalayan,31.1048,77.1734,6,10.6,22.5,5.7,1006.4,60.7,10.2,56.3,0.0,134.1,1.71
FCST_20240101_HIM_D7,2024-01-01,2024-01-08,Himachal Pradesh,North-Himalayan,31.1048,77.1734,7,0.0,21.6,9.6,1005.4,55.4,-1.0,8.25,0.0,17.2,11.36
FCST_20240101_HIM_D8,2024-01-01,2024-01-09,Himachal Pradesh,North-Himalayan,31.1048,77.1734,8,0.0,21.5,11.1,1007.3,55.2,0.4,16.53,0.0,36.8,12.38
FCST_20240101_HIM_D9,2024-01-01,2024-01-10,Himachal Pradesh,North-Himalayan,31.1048,77.1734,9,0.0,21.5,10.9,1005.5,55.9,-3.9,11.01,0.0,20.3,8.26
FCST_20240101_HIM_D10,2024-01-01,2024-01-11,Himachal Pradesh,North-Himalayan,31.1048,77.1734,10,0.0,23.1,10.6,1007.0,54.0,-4.6,21.22,0.0,42.1,28.66
FCST_20240101_BIH_D1,2024-01-01,2024-01-02,Bihar,East,25.0961,85.3131,1,0.0,20.9,12.1,1006.0,56.1,-0.4,1.5,0.0,2.9,4.33
FCST_20240101_BIH_D2,2024-01-01,2024-01-03,Bihar,East,25.0961,85.3131,2,0.0,19.9,11.6,1006.0,55.4,-0.1,2.26,0.0,4.9,3.08
FCST_20240101_BIH_D3,2024-01-01,2024-01-04,Bihar,East,25.0961,85.3131,3,11.9,21.3,13.7,1005.1,52.3,11.8,5.17,2.5,23.2,1.33
FCST_20240101_BIH_D4,2024-01-01,2024-01-05,Bihar,East,25.0961,85.3131,4,1.2,20.7,11.5,1006.7,55.5,-0.4,4.93,0.0,10.4,15.71
FCST_20240101_BIH_D5,2024-01-01,2024-01-06,Bihar,East,25.0961,85.3131,5,0.0,20.5,9.4,1005.9,56.7,0.3,5.6,0.0,12.6,4.29
FCST_20240101_BIH_D6,2024-01-01,2024-01-07,Bihar,East,25.0961,85.3131,6,17.1,21.5,11.2,1007.9,48.9,13.7,8.5,0.0,32.4,14.17
FCST_20240101_BIH_D7,2024-01-01,2024-01-08,Bihar,East,25.0961,85.3131,7,0.0,20.6,12.8,1005.4,55.5,-2.3,9.81,0.0,19.3,13.18
FCST_20240101_BIH_D8,2024-01-01,2024-01-09,Bihar,East,25.0961,85.3131,8,0.0,21.3,15.1,1007.1,54.7,-2.1,9.62,0.0,19.1,39.12
FCST_20240101_BIH_D9,2024-01-01,2024-01-10,Bihar,East,25.0961,85.3131,9,0.0,21.0,9.8,1003.9,50.6,-5.4,11.01,0.0,18.8,22.36
