forecast_id,initialization_time,valid_time,region,zone,latitude,longitude,lead_day,rainfall_forecast,rainfall_observed,temperature_forecast,temperature_observed,wind_forecast,wind_observed,pressure_forecast,pressure_observed,humidity_forecast,humidity_observed,absolute_error,signed_error,relative_error,ensemble_mean,ensemble_spread,ensemble_min,ensemble_max,spatial_variability,data_source,variable
FCST_20240101_RAJ_D3,2024-01-01,2024-01-04,Rajasthan,Northwest,27.0238,74.2179,3,0.0,0.0,19.7,18.8,10.7,10.8,1004.3,1005.4,57.2,49.3,0.0,0.0,0.0,-0.6,3.11,0.0,6.2,1.01,DEMO DATA,rainfall
FCST_20240101_RAJ_D4,2024-01-01,2024-01-05,Rajasthan,Northwest,27.0238,74.2179,4,0.0,3.4,20.4,21.1,10.6,9.0,1005.4,1005.4,54.6,63.1,3.4,-3.4,0.773,1.5,5.96,0.0,14.6,2.09,DEMO DATA,rainfall
FCST_20240101_RAJ_D5,2024-01-01,2024-01-06,Rajasthan,Northwest,27.0238,74.2179,5,0.0,4.0,21.1,20.6,14.1,13.6,1004.7,1004.3,50.3,47.8,4.0,-4.0,0.8,-1.0,6.77,0.0,13.9,3.13,DEMO DATA,rainfall
FCST_20240101_RAJ_D6,2024-01-01,2024-01-07,Rajasthan,Northwest,27.0238,74.2179,6,0.0,0.0,18.8,18.1,12.9,14.1,1006.7,1006.9,55.2,64.2,0.0,0.0,0.0,2.8,6.91,0.0,18.0,4.56,DEMO DATA,rainfall
FCST_20240101_RAJ_D7,2024-01-01,2024-01-08,Rajasthan,Northwest,27.0238,74.2179,7,0.0,0.0,21.9,20.1,12.2,12.8,1002.6,1005.7,53.9,46.2,0.0,0.0,0.0,-1.8,8.25,0.0,16.4,6.82,DEMO DATA,rainfall
FCST_20240101_RAJ_D8,2024-01-01,2024-01-09,Rajasthan,Northwest,27.0238,74.2179,8,0.0,0.0,20.6,18.8,13.3,13.7,1007.8,1007.9,58.0,60.5,0.0,0.0,0.0,3.8,9.62,0.0,25.0,13.71,DEMO DATA,rainfall
FCST_20240101_RAJ_D9,2024-01-01,2024-01-10,Rajasthan,Northwest,27.0238,74.2179,9,0.0,8.5,20.8,20.3,10.8,13.5,1005.7,1005.4,57.4,64.7,8.5,-8.5,0.895,-6.6,14.08,0.0,24.4,9.02,DEMO DATA,rainfall
FCST_20240101_RAJ_D10,2024-01-01,2024-01-11,Rajasthan,Northwest,27.0238,74.2179,10,0.0,0.0,19.3,19.9,11.6,12.1,1005.8,1006.6,58.5,53.3,0.0,0.0,0.0,-1.2,12.43,0.0,26.1,20.99,DEMO DATA,rainfall
FCST_20240101_ODI_D1,2024-01-01,2024-01-02,Odisha,East,20.9517,85.0985,1,3.2,2.5,22.2,22.7,11.2,12.7,1005.8,1005.6,56.4,55.4,0.7,0.7,0.2,3.0,1.5,0.3,6.3,4.59,DEMO DATA,rainfall
FCST_20240101_ODI_D2,2024-01-01,2024-01-03,Odisha,East,20.9517,85.0985,2,0.0,0.0,22.0,21.3,9.8,6.5,1006.4,1006.5,53.6,61.0,0.0,0.0,0.0,0.1,1.95,0.0,4.4,4.46,DEMO DATA,rainfall
FCST_20240101_ODI_D3,2024-01-01,2024-01-04,Odisha,East,20.9517,85.0985,3,0.0,0.4,21.4,21.5,12.2,12.1,1006.4,1006.9,53.0,61.1,0.4,-0.4,0.286,0.4,3.26,0.0,7.6,3.53,DEMO DATA,rainfall
FCST_20240101_ODI_D4,2024-01-01,2024-01-05,Odisha,East,20.9517,85.0985,4,0.0,2.0,20.9,19.2,13.0,12.5,1003.9,1003.0,54.8,54.3,2.0,-2.0,0.667,-3.3,4.93,0.0,7.5,5.11,DEMO DATA,rainfall
FCST_20240101_ODI_D5,2024-01-01,2024-01-06,Odisha,East,20.9517,85.0985,5,0.0,0.0,22.2,22.0,8.3,8.3,1005.1,1005.2,56.8,54.1,0.0,0.0,0.0,0.2,5.6,0.0,12.5,7.74,DEMO DATA,rainfall
FCST_20240101_ODI_D6,2024-01-01,2024-01-07,Odisha,East,20.9517,85.0985,6,0.0,0.0,21.1,19.5,16.6,17.0,1004.8,1005.1,59.5,58.4,0.0,0.0,0.0,-2.4,6.91,0.0,12.8,4.08,DEMO DATA,rainfall
FCST_20240101_ODI_D7,2024-01-01,2024-01-08,Odisha,East,20.9517,85.0985,7,0.0,0.0,20.9,19.8,11.5,11.7,1006.8,1006.7,52.9,55.3,0.0,0.0,0.0,-2.2,8.25,0.0,16.0,7.7,DEMO DATA,rainfall
FCST_20240101_ODI_D8,2024-01-01,2024-01-09,Odisha,East,20.9517,85.0985,8,0.0,0.0,20.8,18.0,12.1,16.7,1006.6,1005.1,61.0,56.8,0.0,0.0,0.0,-3.7,9.62,0.0,17.5,16.5,DEMO DATA,rainfall
FCST_20240101_ODI_D9,2024-01-01,2024-01-10,Odisha,East,20.9517,85.0985,9,0.0,8.0,22.8,22.7,6.4,5.5,1003.6,1005.3,53.4,65.5,8.0,-8.0,0.889,2.3,13.59,0.0,32.2,13.66,DEMO DATA,rainfall
FCST_20240101_ODI_D10,2024-01-01,2024-01-11,Odisha,East,20.9517,85.0985,10,0.0,5.1,21.0,20.1,8.3,9.9,1006.4,1008.7,49.2,58.6,5.1,-5.1,0.836,-6.8,14.74,0.0,25.6,4.0,DEMO DATA,rainfall
FCST_20240101_ASS_D1,2024-01-01,2024-01-02,Assam,Northeast,26.2006,92.9376,1,0.0,0.0,21.5,20.6,11.0,9.8,1006.3,1006.8,54.5,52.2,0.0,0.0,0.0,1.0,1.5,0.0,4.3,2.69,DEMO DATA,rainfall
FCST_20240101_ASS_D2,2024-01-01,2024-01-03,Assam,Northeast,26.2006,92.9376,2,0.0,0.0,21.4,21.4,10.9,13.4,1006.3,1005.9,59.7,64.8,0.0,0.0,0.0,0.2,1.95,0.0,4.5,3.93,DEMO DATA,rainfall
FCST_20240101_ASS_D3,2024-01-01,2024-01-04,Assam,Northeast,26.2006,92.9376,3,0.0,0.0,21.7,22.3,9.4,9.7,1005.6,1004.7,54.9,56.1,0.0,0.0,0.0,0.5,3.11,0.0,7.3,9.46,DEMO DATA,rainfall
FCST_20240101_ASS_D4,2024-01-01,2024-01-05,Assam,Northeast,26.2006,92.9376,4,6.8,8.8,22.1,21.9,11.5,13.5,1004.5,1004.4,56.4,54.7,2.0,-2.0,0.204,8.0,5.34,0.0,19.7,7.57,DEMO DATA,rainfall
FCST_20240101_ASS_D5,2024-01-01,2024-01-06,Assam,Northeast,26.2006,92.9376,5,0.0,0.6,20.9,20.1,9.7,11.8,1007.6,1008.4,54.7,55.8,0.6,-0.6,0.375,0.1,5.86,0.0,13.0,13.82,DEMO DATA,rainfall
FCST_20240101_ASS_D6,2024-01-01,2024-01-07,Assam,Northeast,26.2006,92.9376,6,0.0,0.0,22.5,20.0,10.3,8.4,1005.6,1006.4,48.1,46.8,0.0,0.0,0.0,-1.4,6.91,0.0,13.8,3.25,DEMO DATA,rainfall
FCST_20240101_ASS_D7,2024-01-01,2024-01-08,Assam,Northeast,26.2006,92.9376,7,0.0,4.2,20.5,20.2,7.5,5.5,1004.6,1007.1,52.0,48.8,4.2,-4.2,0.808,0.4,9.48,0.0,21.3,13.37,DEMO DATA,rainfall
FCST_20240101_ASS_D8,2024-01-01,2024-01-09,Assam,Northeast,26.2006,92.9376,8,0.0,0.0,19.5,19.2,11.8,10.8,1005.5,1004.1,53.4,57.5,0.0,0.0,0.0,2.5,9.62,0.0,23.7,6.72,DEMO DATA,rainfall
FCST_20240101_ASS_D9,2024-01-01,2024-01-10,Assam,Northeast,26.2006,92.9376,9,0.0,1.4,22.0,23.0,17.3,20.3,1007.6,1006.5,52.4,53.0,1.4,-1.4,0.583,-4.0,11.53,0.0,21.4,6.41,DEMO DATA,rainfall
FCST_20240101_ASS_D10,2024-01-01,2024-01-11,Assam,Northeast,26.2006,92.9376,10,5.6,17.9,20.2,19.2,11.6,14.7,1007.3,1008.3,51.4,62.5,12.3,-12.3,0.651,6.6,16.43,0.0,42.7,18.5,DEMO DATA,rainfall
FCST_20240101_PUN_D1,2024-01-01,2024-01-02,Punjab,North,31.1471,75.3412,1,0.0,0.0,21.4,21.7,12.2,11.8,1006.5,1006.1,56.4,54.7,0.0,0.0,0.0,0.2,1.5,0.0,3.5,2.56,DEMO DATA,rainfall
FCST_20240101_PUN_D2,2024-01-01,2024-01-03,Punjab,North,31.1471,75.3412,2,0.0,0.2,22.0,23.2,12.5,12.8,1005.1,1005.3,55.4,54.3,0.2,-0.2,0.167,-0.0,2.04,0.0,4.5,3.29,DEMO DATA,rainfall
FCST_20240101_PUN_D3,2024-01-01,2024-01-04,Punjab,North,31.1471,75.3412,3,0.0,0.0,21.4,22.3,12.2,11.4,1006.0,1006.1,54.6,55.8,0.0,0.0,0.0,-0.4,3.11,0.0,6.4,11.08,DEMO DATA,rainfall
FCST_20240101_PUN_D4,2024-01-01,2024-01-05,Punjab,North,31.1471,75.3412,4,0.0,0.0,21.2,22.4,8.9,11.3,1005.8,1005.6,52.4,48.3,0.0,0.0,0.0,2.0,4.33,0.0,11.5,2.02,DEMO DATA,rainfall
FCST_20240101_PUN_D5,2024-01-01,2024-01-06,Punjab,North,31.1471,75.3412,5,1.0,7.3,22.1,22.5,11.2,12.1,1005.4,1005.9,53.6,55.4,6.3,-6.3,0.759,-1.0,8.65,0.0,18.0,8.8,DEMO DATA,rainfall
FCST_20240101_PUN_D6,2024-01-01,2024-01-07,Punjab,North,31.1471,75.3412,6,5.8,1.1,21.5,20.5,13.0,13.0,1006.1,1004.5,59.6,62.1,4.7,4.7,2.238,4.8,9.24,0.0,25.1,1.27,DEMO DATA,rainfall
FCST_20240101_PUN_D7,2024-01-01,2024-01-08,Punjab,North,31.1471,75.3412,7,0.0,2.3,21.1,21.8,10.1,10.0,1009.5,1008.9,53.8,52.5,2.3,-2.3,0.697,-1.0,9.53,0.0,20.0,9.31,DEMO DATA,rainfall
FCST_20240101_PUN_D8,2024-01-01,2024-01-09,Punjab,North,31.1471,75.3412,8,0.0,0.3,20.0,19.7,12.8,10.9,1008.7,1008.9,52.4,46.9,0.3,-0.3,0.231,-1.4,9.76,0.0,20.1,16.13,DEMO DATA,rainfall
FCST_20240101_PUN_D9,2024-01-01,2024-01-10,Punjab,North,31.1471,75.3412,9,0.0,0.0,21.6,23.6,9.7,10.0,1008.9,1010.1,56.7,55.6,0.0,0.0,0.0,3.6,11.01,0.0,27.8,36.45,DEMO DATA,rainfall
FCST_20240101_PUN_D10,2024-01-01,2024-01-11,Punjab,North,31.1471,75.3412,10,0.0,10.5,21.5,19.6,9.0,11.3,1005.4,1003.8,57.7,61.1,10.5,-10.5,0.913,-1.1,17.24,0.0,36.8,2.46,DEMO DATA,rainfall
FCST_20240101_TAM_D1,2024-01-01,2024-01-02,Tamil Nadu,South,11.1271,78.6569,1,0.0,0.4,20.8,21.5,14.1,16.1,1005.0,1004.8,55.4,58.0,0.4,-0.4,0.286,-0.0,1.5,0.0,3.3,0.48,DEMO DATA,rainfall
FCST_20240101_TAM_D2,2024-01-01,2024-01-03,Tamil Nadu,South,11.1271,78.6569,2,0.0,0.8,20.7,20.3,14.5,13.6,1006.6,1006.6,56.1,59.4,0.8,-0.8,0.444,-0.1,2.21,0.0,4.8,5.52,DEMO DATA,rainfall
FCST_20240101_TAM_D3,2024-01-01,2024-01-04,Tamil Nadu,South,11.1271,78.6569,3,0.0,0.0,21.8,22.9,10.4,9.7,1005.3,1005.5,54.9,54.7,0.0,0.0,0.0,0.4,3.11,0.0,7.2,4.84,DEMO DATA,rainfall
FCST_20240101_TAM_D4,2024-01-01,2024-01-05,Tamil Nadu,South,11.1271,78.6569,4,5.9,14.9,21.5,22.6,10.6,11.0,1004.8,1004.6,58.4,57.7,9.0,-9.0,0.566,6.0,7.27,0.0,22.0,3.79,DEMO DATA,rainfall
FCST_20240101_TAM_D5,2024-01-01,2024-01-06,Tamil Nadu,South,11.1271,78.6569,5,9.2,11.9,21.7,19.1,12.7,18.6,1005.7,1004.9,51.8,53.4,2.7,-2.7,0.209,10.9,6.28,0.0,24.7,3.51,DEMO DATA,rainfall
FCST_20240101_TAM_D6,2024-01-01,2024-01-07,Tamil Nadu,South,11.1271,78.6569,6,16.5,20.5,21.3,24.7,11.5,11.4,1006.9,1007.1,56.7,61.3,4.0,-4.0,0.186,16.9,7.91,2.7,34.3,16.85,DEMO DATA,rainfall
FCST_20240101_TAM_D7,2024-01-01,2024-01-08,Tamil Nadu,South,11.1271,78.6569,7,18.2,15.8,21.7,22.6,10.4,11.3,1007.8,1005.9,53.6,49.1,2.4,2.4,0.143,19.6,9.34,2.8,40.1,22.87,DEMO DATA,rainfall
FCST_20240101_TAM_D8,2024-01-01,2024-01-09,Tamil Nadu,South,11.1271,78.6569,8,2.3,0.0,22.5,20.8,12.2,6.6,1005.8,1005.0,53.7,46.8,2.3,2.3,2.3,2.7,10.34,0.0,25.4,6.18,DEMO DATA,rainfall
FCST_20240101_TAM_D9,2024-01-01,2024-01-10,Tamil Nadu,South,11.1271,78.6569,9,0.0,0.0,20.2,17.2,18.2,21.1,1007.1,1010.3,56.0,63.8,0.0,0.0,0.0,1.6,11.01,0.0,25.8,9.8,DEMO DATA,rainfall
FCST_20240101_TAM_D10,2024-01-01,2024-01-11,Tamil Nadu,South,11.1271,78.6569,10,0.0,0.0,21.5,21.9,10.9,15.1,1005.2,1006.5,50.8,41.4,0.0,0.0,0.0,-1.9,12.43,0.0,25.4,2.74,DEMO DATA,rainfall
FCST_20240101_AND_D1,2024-01-01,2024-01-02,Andhra Pradesh,South-East,15.9129,79.74,1,5.6,4.4,20.9,20.9,12.0,12.6,1007.1,1007.2,55.7,58.6,1.2,1.2,0.222,5.7,1.51,3.0,9.0,1.5,DEMO DATA,rainfall
FCST_20240101_AND_D2,2024-01-01,2024-01-03,Andhra Pradesh,South-East,15.9129,79.74,2,0.0,1.5,20.9,21.5,12.9,12.1,1006.0,1007.1,54.9,52.6,1.5,-1.5,0.6,-0.5,2.36,0.0,4.7,10.0,DEMO DATA,rainfall
FCST_20240101_AND_D3,2024-01-01,2024-01-04,Andhra Pradesh,South-East,15.9129,79.74,3,4.0,3.6,21.6,21.1,10.6,8.4,1005.9,1005.8,56.3,64.6,0.4,0.4,0.087,4.3,3.34,0.0,11.6,2.57,DEMO DATA,rainfall
FCST_20240101_AND_D4,2024-01-01,2024-01-05,Andhra Pradesh,South-East,15.9129,79.74,4,0.0,0.0,22.6,21.5,10.7,9.5,1006.8,1005.8,59.3,59.4,0.0,0.0,0.0,-0.8,4.33,0.0,8.7,3.15,DEMO DATA,rainfall
FCST_20240101_AND_D5,2024-01-01,2024-01-06,Andhra Pradesh,South-East,15.9129,79.74,5,0.0,1.6,21.9,24.0,12.2,13.0,1007.1,1006.5,50.1,49.9,1.6,-1.6,0.615,-1.6,6.27,0.0,12.2,10.47,DEMO DATA,rainfall
FCST_20240101_AND_D6,2024-01-01,2024-01-07,Andhra Pradesh,South-East,15.9129,79.74,6,0.0,0.0,21.2,20.8,9.8,12.5,1005.3,1005.4,59.0,69.2,0.0,0.0,0.0,0.7,6.91,0.0,15.9,5.16,DEMO DATA,rainfall
FCST_20240101_AND_D7,2024-01-01,2024-01-08,Andhra Pradesh,South-East,15.9129,79.74,7,0.8,0.0,21.7,19.2,13.1,18.3,1007.5,1006.3,52.9,56.9,0.8,0.8,0.8,0.9,8.57,0.0,19.8,10.15,DEMO DATA,rainfall
FCST_20240101_AND_D8,2024-01-01,2024-01-09,Andhra Pradesh,South-East,15.9129,79.74,8,0.0,0.0,21.2,19.4,12.9,16.3,1007.0,1007.1,53.7,54.6,0.0,0.0,0.0,-0.1,9.62,0.0,21.1,18.95,DEMO DATA,rainfall
FCST_20240101_AND_D9,2024-01-01,2024-01-10,Andhra Pradesh,South-East,15.9129,79.74,9,2.0,0.4,20.5,20.6,12.9,14.4,1002.4,1002.3,55.6,58.3,1.6,1.6,1.143,-6.3,11.56,0.0,19.1,15.56,DEMO DATA,rainfall
FCST_20240101_AND_D10,2024-01-01,2024-01-11,Andhra Pradesh,South-East,15.9129,79.74,10,1.9,1.3,19.7,18.6,13.1,11.9,1008.6,1008.1,60.0,55.8,0.6,0.6,0.261,0.7,12.59,0.0,28.4,15.71,DEMO DATA,rainfall
FCST_20240101_WES_D1,2024-01-01,2024-01-02,West Bengal,East,22.9868,87.855,1,0.0,0.0,21.4,21.3,12.6,11.2,1006.7,1005.8,53.6,54.9,0.0,0.0,0.0,0.3,1.5,0.0,3.6,2.44,DEMO DATA,rainfall
FCST_20240101_WES_D2,2024-01-01,2024-01-03,West Bengal,East,22.9868,87.855,2,11.5,8.0,21.2,21.2,11.0,8.3,1006.5,1007.7,52.9,49.6,3.5,3.5,0.389,11.5,3.16,5.8,18.5,4.83,DEMO DATA,rainfall
FCST_20240101_WES_D3,2024-01-01,2024-01-04,West Bengal,East,22.9868,87.855,3,0.0,0.5,22.5,23.6,10.4,8.6,1004.2,1003.1,56.0,54.7,0.5,-0.5,0.333,1.8,3.37,0.0,9.2,2.4,DEMO DATA,rainfall
FCST_20240101_WES_D4,2024-01-01,2024-01-05,West Bengal,East,22.9868,87.855,4,0.0,0.3,21.5,23.4,12.9,12.5,1005.6,1005.7,55.8,56.7,0.3,-0.3,0.231,-0.5,4.41,0.0,9.2,1.48,DEMO DATA,rainfall
FCST_20240101_WES_D5,2024-01-01,2024-01-06,West Bengal,East,22.9868,87.855,5,6.3,11.6,20.4,19.5,12.8,10.0,1007.5,1008.9,54.2,52.9,5.3,-5.3,0.421,5.8,7.92,0.0,23.2,13.05,DEMO DATA,rainfall
FCST_20240101_WES_D6,2024-01-01,2024-01-07,West Bengal,East,22.9868,87.855,6,0.0,1.4,22.5,23.3,10.3,12.7,1007.3,1006.9,55.6,51.9,1.4,-1.4,0.583,-1.1,7.66,0.0,15.8,2.4,DEMO DATA,rainfall
FCST_20240101_WES_D7,2024-01-01,2024-01-08,West Bengal,East,22.9868,87.855,7,0.0,5.3,23.4,22.5,9.3,8.9,1005.9,1006.2,54.5,53.3,5.3,-5.3,0.841,4.4,10.95,0.0,28.5,17.34,DEMO DATA,rainfall
FCST_20240101_WES_D8,2024-01-01,2024-01-09,West Bengal,East,22.9868,87.855,8,0.0,0.0,22.1,24.2,12.0,12.1,1004.4,1004.8,56.8,65.7,0.0,0.0,0.0,-4.6,9.62,0.0,16.6,11.33,DEMO DATA,rainfall
